country_code,wikipedia_pageviews,date
SE,746901,2023-03-05
SK,110951,2023-03-05
AT,439504,2023-03-06
BE,393693,2023-03-06
CH,255651,2023-03-06
DE,9611546,2023-03-06
DK,160914,2023-03-06
EE,58558,2023-03-06
ES,3003166,2023-03-06
FI,471637,2023-03-06
HU,360469,2023-03-06
IE,295266,2023-03-06
IT,5696805,2023-03-06
LT,104720,2023-03-06
LV,20125,2023-03-06
NO,131970,2023-03-06
PL,2279534,2023-03-06
PT,215278,2023-03-06
RO,350886,2023-03-06
SE,505221,2023-03-06
SK,85190,2023-03-06
AT,357793,2023-03-07
BE,346973,2023-03-07
CH,204582,2023-03-07
DE,8963982,2023-03-07
DK,130256,2023-03-07
EE,40573,2023-03-07
ES,2973217,2023-03-07
FI,379091,2023-03-07
HU,325704,2023-03-07
IE,263340,2023-03-07
IT,5593404,2023-03-07
LT,66161,2023-03-07
LV,16273,2023-03-07
NO,128775,2023-03-07
PL,2333040,2023-03-07
PT,213961,2023-03-07
RO,343675,2023-03-07
SE,480829,2023-03-07
SK,80917,2023-03-07
AT,394384,2023-03-08
BE,447216,2023-03-08
CH,261488,2023-03-08
DE,9570627,2023-03-08
DK,166390,2023-03-08
EE,39833,2023-03-08
ES,3340732,2023-03-08
FI,421688,2023-03-08
HU,353879,2023-03-08
IE,300595,2023-03-08
IT,5924484,2023-03-08
LT,90571,2023-03-08
LV,27226,2023-03-08
NO,152308,2023-03-08
PL,2353661,2023-03-08
PT,328977,2023-03-08
RO,391266,2023-03-08
SE,515331,2023-03-08
SK,108439,2023-03-08
AT,315971,2023-03-09
BE,355171,2023-03-09
CH,188994,2023-03-09
CZ,92,2023-03-09
DE,8617524,2023-03-09
DK,144061,2023-03-09
EE,29910,2023-03-09
ES,2965745,2023-03-09
FI,375479,2023-03-09
HU,308543,2023-03-09
IE,284478,2023-03-09
IT,5438418,2023-03-09
LT,52951,2023-03-09
LV,15321,2023-03-09
NO,116836,2023-03-09
PL,2315774,2023-03-09
PT,201642,2023-03-09
RO,341995,2023-03-09
SE,479290,2023-03-09
SK,80355,2023-03-09
AT,397425,2023-03-10
BE,430392,2023-03-10
CH,226217,2023-03-10
DE,9540455,2023-03-10
DK,174540,2023-03-10
EE,28234,2023-03-10
ES,2613479,2023-03-10
FI,389643,2023-03-10
HU,273616,2023-03-10
IE,331725,2023-03-10
IT,5182610,2023-03-10
LT,51022,2023-03-10
LV,13682,2023-03-10
NO,130198,2023-03-10
PL,2134777,2023-03-10
PT,191304,2023-03-10
RO,264434,2023-03-10
SE,572836,2023-03-10
SK,67715,2023-03-10
AT,430318,2023-03-11
BE,379327,2023-03-11
CH,261442,2023-03-11
CZ,91,2023-03-11
DE,9321404,2023-03-11
DK,186219,2023-03-11
EE,27722,2023-03-11
ES,2911836,2023-03-11
FI,516031,2023-03-11
HU,367462,2023-03-11
IE,405368,2023-03-11
IT,5516424,2023-03-11
LT,56638,2023-03-11
LV,10117,2023-03-11
NO,146911,2023-03-11
PL,2424857,2023-03-11
PT,231579,2023-03-11
RO,279935,2023-03-11
SE,1235993,2023-03-11
SK,91353,2023-03-11
AT,539516,2023-03-12
BE,458391,2023-03-12
CH,304542,2023-03-12
DE,11823336,2023-03-12
DK,190078,2023-03-12
EE,37471,2023-03-12
ES,3318752,2023-03-12
FI,515876,2023-03-12
HU,418936,2023-03-12
IE,494129,2023-03-12
IT,6657697,2023-03-12
LT,50807,2023-03-12
LV,14739,2023-03-12
NO,173641,2023-03-12
PL,3028522,2023-03-12
PT,294780,2023-03-12
RO,344688,2023-03-12
SE,757534,2023-03-12
SK,96454,2023-03-12
AT,569199,2023-03-13
BE,468384,2023-03-13
CH,348826,2023-03-13
DE,11289467,2023-03-13
DK,248258,2023-03-13
EE,38702,2023-03-13
ES,3387758,2023-03-13
FI,526866,2023-03-13
HU,410190,2023-03-13
IE,507784,2023-03-13
IT,6813621,2023-03-13
LT,67956,2023-03-13
LV,19249,2023-03-13
NO,171354,2023-03-13
PL,2529648,2023-03-13
PT,386703,2023-03-13
RO,391109,2023-03-13
SE,696542,2023-03-13
SK,109448,2023-03-13
AT,407642,2023-03-14
BE,424058,2023-03-14
CH,248694,2023-03-14
DE,12897214,2023-03-14
DK,184588,2023-03-14
EE,42263,2023-03-14
ES,2969591,2023-03-14
FI,441528,2023-03-14
HU,404989,2023-03-14
IE,384063,2023-03-14
IT,6177962,2023-03-14
LT,71338,2023-03-14
LV,17190,2023-03-14
NO,189932,2023-03-14
PL,2323128,2023-03-14
PT,238867,2023-03-14
RO,357882,2023-03-14
SE,586154,2023-03-14
SK,98561,2023-03-14
AT,353760,2023-03-15
BE,389164,2023-03-15
CH,222775,2023-03-15
DE,9331633,2023-03-15
DK,160663,2023-03-15
EE,31066,2023-03-15
ES,2872156,2023-03-15
FI,395939,2023-03-15
HU,703588,2023-03-15
IE,360845,2023-03-15
IT,5700758,2023-03-15
LT,69725,2023-03-15
LV,13636,2023-03-15
NO,132064,2023-03-15
PL,2239838,2023-03-15
PT,208807,2023-03-15
RO,354268,2023-03-15
SE,516354,2023-03-15
SK,84382,2023-03-15
AT,318073,2023-03-16
BE,383301,2023-03-16
CH,207340,2023-03-16
DE,10990293,2023-03-16
DK,146689,2023-03-16
EE,26566,2023-03-16
ES,2719344,2023-03-16
FI,501153,2023-03-16
HU,329919,2023-03-16
IE,330042,2023-03-16
IT,5367531,2023-03-16
LT,68962,2023-03-16
LV,14692,2023-03-16
NO,137810,2023-03-16
PL,2129083,2023-03-16
PT,213700,2023-03-16
RO,340870,2023-03-16
SE,488185,2023-03-16
SK,72952,2023-03-16
AT,393210,2023-03-17
BE,457219,2023-03-17
CH,212778,2023-03-17
DE,9653647,2023-03-17
DK,182034,2023-03-17
EE,30306,2023-03-17
ES,2786338,2023-03-17
FI,477390,2023-03-17
HU,274168,2023-03-17
IE,506530,2023-03-17
IT,5383332,2023-03-17
LT,51384,2023-03-17
LV,14211,2023-03-17
NO,185245,2023-03-17
PL,2116956,2023-03-17
PT,266729,2023-03-17
RO,271907,2023-03-17
SE,650006,2023-03-17
SK,65544,2023-03-17
AT,353095,2023-03-18
BE,432475,2023-03-18
CH,240106,2023-03-18
DE,9074678,2023-03-18
DK,191654,2023-03-18
EE,28744,2023-03-18
ES,3075284,2023-03-18
FI,492742,2023-03-18
HU,326818,2023-03-18
IE,634653,2023-03-18
IT,5949196,2023-03-18
LT,43829,2023-03-18
LV,11832,2023-03-18
NO,191708,2023-03-18
PL,2049307,2023-03-18
PT,234634,2023-03-18
RO,270456,2023-03-18
SE,802703,2023-03-18
SK,73006,2023-03-18
AT,513448,2023-03-19
BE,476981,2023-03-19
CH,431103,2023-03-19
DE,15400671,2023-03-19
DK,198668,2023-03-19
EE,36268,2023-03-19
ES,3296344,2023-03-19
FI,609784,2023-03-19
HU,453093,2023-03-19
IE,582754,2023-03-19
IT,6848554,2023-03-19
LT,50936,2023-03-19
LV,14175,2023-03-19
NO,206348,2023-03-19
PL,2960540,2023-03-19
PT,312424,2023-03-19
RO,343142,2023-03-19
SE,662384,2023-03-19
SK,81390,2023-03-19
AT,388002,2023-03-20
BE,418290,2023-03-20
CH,328469,2023-03-20
CZ,104,2023-03-20
DE,12251666,2023-03-20
DK,175336,2023-03-20
EE,33824,2023-03-20
ES,3077178,2023-03-20
FI,463786,2023-03-20
HU,304611,2023-03-20
IE,400598,2023-03-20
IT,5863153,2023-03-20
LT,84366,2023-03-20
LV,17135,2023-03-20
NO,139707,2023-03-20
PL,2181018,2023-03-20
PT,259877,2023-03-20
RO,355188,2023-03-20
SE,521004,2023-03-20
SK,73206,2023-03-20
AT,320839,2023-03-21
BE,369980,2023-03-21
CH,225636,2023-03-21
DE,11587291,2023-03-21
DK,139702,2023-03-21
EE,26010,2023-03-21
ES,3080212,2023-03-21
FI,453547,2023-03-21
HU,284672,2023-03-21
IE,351860,2023-03-21
IT,5721707,2023-03-21
LT,59095,2023-03-21
LV,15473,2023-03-21
NO,134636,2023-03-21
PL,2102882,2023-03-21
PT,231128,2023-03-21
RO,350324,2023-03-21
SE,501130,2023-03-21
SK,72903,2023-03-21
AT,303819,2023-03-22
BE,346084,2023-03-22
CH,219458,2023-03-22
CZ,94,2023-03-22
